Region,Country,Average_CPI_Score,CPI_2016_Score,CPI_2015_Score,CPI_2014_Score,CPI_2013_Score,CPI_2012_Score
AP,Korea (South),54.6,53,54,55,55,56
EE,Montenegro,43.2,45,44,42,44,41
AP,Thailand,36.6,35,38,38,35,37
EE,Bosnia and Herzegovina,40.0,39,38,39,42,42
ME,Jordan,48.6,48,53,49,45,48
AM,El Salvador,38.0,36,39,39,38,38
AP,Philippines,35.6,35,35,38,36,34
EU,Spain,60.0,58,58,60,59,65
EU,Malta,56.6,55,60,55,56,57
AM,Colombia,36.6,37,37,37,36,36
AF,Chad,20.4,20,22,22,19,19
ME,Israel,61.2,64,61,60,61,60
AF,Namibia,50.0,52,53,49,48,48
EU,Sweden,88.2,88,89,87,89,88
AF,Benin,36.8,36,37,39,36,36
AP,New Zealand,90.6,90,91,91,91,90
AF,Zimbabwe,21.0,22,21,21,21,20
ME,Libya,16.8,14,16,18,15,21
EU,France,70.0,69,70,69,71,71
AM,Guatemala,30.0,28,28,32,29,33
AF,Ghana,45.8,43,47,48,46,45
EE,Russia,28.2,29,29,27,28,28
AP,Cambodia,21.0,21,21,21,20,22
AP,Taiwan,61.2,61,62,61,61,61
AF,Botswana,63.0,60,63,63,64,65
AF,Eritrea,19.8,18,18,18,20,25
AF,Mauritania,29.8,27,31,30,30,31
EU,Norway,86.0,85,88,86,86,85
EE,Azerbaijan,28.6,30,29,29,28,27
AM,Bolivia,34.0,33,34,35,34,34
AF,Tanzania,32.2,32,30,31,33,35
EU,Switzerland,85.8,86,86,86,85,86
AM,Costa Rica,54.8,58,55,54,53,54
AF,Rwanda,52.6,54,54,49,53,53
EU,United Kingdom,78.0,81,81,78,76,74
AF,South Africa,43.6,45,44,44,42,43
EU,Poland,60.8,62,63,61,60,58
AP,Vietnam,31.4,33,31,31,31,31
AF,Guinea,25.0,27,25,25,24,24
AM,Mexico,32.8,30,31,35,34,34
AP,Sri Lanka,37.6,36,37,38,37,40
AP,Afghanistan,10.8,15,11,12,8,8
AM,Ecuador,32.6,31,32,33,35,32
AF,Sierra Leone,30.2,30,29,31,30,31
EU,Slovenia,59.4,61,60,58,57,61
EU,Germany,79.6,81,81,79,78,79
ME,Kuwait,44.2,41,49,44,43,44
EE,Armenia,35.0,33,35,37,36,34
AM,Jamaica,38.8,39,41,38,38,38
AP,Laos,25.4,30,25,25,26,21
AF,Guinea-Bissau,19.2,16,17,19,19,25
AF,Togo,30.4,32,32,29,29,30
AF,Lesotho,45.2,39,44,49,49,45
AP,Nepal,28.6,29,27,29,31,27
EE,Albania,34.4,39,36,33,31,33
EU,Denmark,90.8,90,91,92,91,90
EU,Estonia,68.2,70,70,69,68,64
ME,Bahrain,48.4,43,51,49,48,51
AP,Myanmar,21.4,28,22,21,21,15
AM,Dominican Republic,31.4,31,33,32,29,32
AP,Bhutan,64.2,65,65,65,63,63
AM,Guyana,29.6,34,29,30,27,28
ME,Saudi Arabia,47.4,46,52,49,46,44
