Country,Country_Code,Region,CPI_2016_Rank,Average_CPI_Score,CPI_2016_Score,CPI_2015_Score,CPI_2014_Score,CPI_2013_Score,CPI_2012_Score,Income_Group,Average_Unemployment_Rate,Unemployment_Rate_2016,Unemployment_Rate_2015,Unemployment_Rate_2014,Unemployment_Rate_2013,Unemployment_Rate_2012,Currency_Unit
Albania,ALB,Europe & Central Asia,83,34.4,39,36,33,31,33,Upper middle income,11.9,10.5,10.5,10.5,13,15,Albanian lek
Algeria,DZA,Middle East & North Africa,108,35.2,34,36,36,36,34,Upper middle income,8.9522,8.235,8.595,8.954,9.311,9.666,Algerian dinar
Argentina,ARG,Latin America & Caribbean,95,34.2,36,32,34,34,35,High income: nonOECD,6.8582,6.586,6.671,6.694,7.171,7.169,Argentine peso
Armenia,ARM,Europe & Central Asia,113,35,33,35,37,36,34,Lower middle income,18.22,17.7,17.9,18,18.5,19,Armenian dram
Australia,AUS,East Asia & Pacific,13,80.8,79,79,80,81,85,High income: OECD,5.2048,5.133,5.133,5.208,5.333,5.217,Australian dollar
Austria,AUT,Europe & Central Asia,17,72.2,75,76,72,69,69,High income: OECD,4.24,4,4.1,4.3,4.5,4.3,Euro
Azerbaijan,AZE,Europe & Central Asia,123,28.6,30,29,29,28,27,Upper middle income,6.048,6.048,6.048,6.048,6.048,6.048,New Azeri manat
Belarus,BLR,Europe & Central Asia,79,32.6,40,32,31,29,31,Upper middle income,0.6,0.6,0.6,0.6,0.6,0.6,Belarusian rubel
Belgium,BEL,Europe & Central Asia,15,76,77,77,76,75,75,High income: OECD,7.5714,7.387,7.53,7.677,7.878,7.385,Euro
Bhutan,BTN,South Asia,27,64.2,65,65,65,63,63,Lower middle income,3.2,3.2,3.2,3.2,3.2,3.2,Bhutanese ngultrum
Bosnia and Herzegovina,BIH,Europe & Central Asia,83,40,39,38,39,42,42,Upper middle income,25.52,23.5,24.5,25.5,26.5,27.6,Bosnia and Herzegovina convertible mark
Brazil,BRA,Latin America & Caribbean,79,41.2,40,38,43,42,43,Upper middle income,6.7,7,7,7,6.5,6,Brazilian real
Bulgaria,BGR,Europe & Central Asia,75,41.4,41,41,43,41,41,Upper middle income,9.728,7.208,8.708,10.208,11.008,11.508,Bulgarian lev
Canada,CAN,North America,9,82.2,82,83,81,81,84,High income: OECD,7.055,6.671,6.887,7.107,7.28,7.33,Canadian dollar
Cape Verde,CPV,Sub-Saharan Africa,38,57.8,59,55,57,58,60,Lower middle income,9.4,9,9,9,10,10,Cabo Verde escudo
Chile,CHL,Latin America & Caribbean,24,70.4,66,70,73,71,72,High income: OECD,6.8476,6.9,6.9,6.9,6.9,6.638,Chilean peso
China,CHN,East Asia & Pacific,79,38.4,40,37,36,40,39,Upper middle income,4.1,4.1,4.1,4.1,4.1,4.1,Chinese yuan
Colombia,COL,Latin America & Caribbean,90,36.6,37,37,37,36,36,Upper middle income,10.1,9.5,9.5,10,10.5,11,Colombian peso
Costa Rica,CRI,Latin America & Caribbean,41,54.8,58,55,54,53,54,Upper middle income,6.14,5.2,5.5,6,6.5,7.5,Costa Rican colon
Croatia,HRV,Europe & Central Asia,55,48.4,49,51,48,48,46,High income: nonOECD,12.681,11.067,12.029,12.797,13.331,14.181,Croatian kuna
Cyprus,CYP,Europe & Central Asia,47,61.6,55,61,63,63,66,High income: nonOECD,12.3,12,12.5,12.8,12.5,11.7,Euro
Czechia,CZE,Europe & Central Asia,47,51.8,55,56,51,48,49,High income: OECD,7.1324,5.5,7.235,7.923,7.959,7.045,Czech koruna
Denmark,DNK,Europe & Central Asia,1,90.8,90,91,92,91,90,High income: OECD,4.56,3.6,3.8,4.5,5.3,5.6,Danish krone
Dominican Republic,DOM,Latin America & Caribbean,120,31.4,31,33,32,29,32,Upper middle income,12,11,11.5,12,12.5,13,Dominican peso
Ecuador,ECU,Latin America & Caribbean,120,32.6,31,32,33,35,32,Upper middle income,6.22,6.4,6.4,6.3,6.2,5.8,U.S. dollar
Egypt,EGY,Middle East & North Africa,108,34.2,34,36,37,32,32,Lower middle income,13.1704,12.63,13.273,13.711,13.522,12.716,Egyptian pound
El Salvador,SLV,Latin America & Caribbean,95,38,36,39,39,38,38,Lower middle income,5.077,4.777,4.777,5.027,5.277,5.527,U.S. dollar
Estonia,EST,Europe & Central Asia,22,68.2,70,70,69,68,64,High income: OECD,8.5728,7.432,7.854,8.44,9.068,10.07,Euro
Finland,FIN,Europe & Central Asia,3,89.4,89,90,89,89,90,High income: OECD,7.6942,7.6,7.7,7.74,7.795,7.636,Euro
France,FRA,Europe & Central Asia,23,70,69,70,69,71,71,High income: OECD,10.0038,9.31,9.758,10.289,10.524,10.138,Euro
Georgia,GEO,Europe & Central Asia,44,52.4,57,52,52,49,52,Lower middle income,13.2772,12.217,12.811,13.351,13.824,14.183,Georgian lari
